name,K1030_GE5_CTRL_mean_score,K1030_GE5_mean_score,K1030_GE5_CTRL_K1030_GE5_change,K1030_GE5_CTRL_K1030_GE5_pvalue,K1030_GE5_CTRL_K1030_GE5_highlighted
Arnt,0.2829,0.31451,0.03793,5.31563E-75,FALSE
PAX6,0.14471,0.18682,-0.07042,5.23884E-92,FALSE
RORA,0.12625,0.17586,-0.17313,2.04804E-145,FALSE
RXRA::VDR,0.15862,0.19313,-0.05592,1.21433E-83,FALSE
REL,0.21321,0.24476,0.01556,7.12205E-40,FALSE
RELA,0.20157,0.23195,0.03042,2.29477E-79,FALSE
NR1H2::RXRA,0.13966,0.18704,-0.14015,9.40958E-134,FALSE
Znf423,0.21315,0.24968,-0.05371,2.47394E-101,FALSE
NFIC::TLX1,0.17415,0.22269,-0.1096,8.31724E-133,FALSE
ZNF354C,0.14436,0.18472,-0.09647,1.05095E-127,FALSE
Pou5f1::Sox2,0.09904,0.14202,-0.1832,1.13489E-157,FALSE
EWSR1-FLI1,0.20091,0.23174,0.01454,7.14357E-66,FALSE
Arid3a,0.08844,0.13063,-0.20559,1.67063E-177,FALSE
INSM1,0.22289,0.24676,0.04569,1.02521E-99,FALSE
RARA::RXRA,0.1721,0.20981,-0.04513,2.47315E-96,FALSE
PLAG1,0.24832,0.26239,0.10523,4.46409E-146,FALSE
Tfcp2l1,0.2409,0.26936,0.00287,1.99417E-04,FALSE
DUX4,0.11381,0.16076,-0.2025,1.33392E-148,FALSE
Sox6,0.14549,0.1784,0.01826,1.41742E-58,FALSE
ESR2,0.1847,0.22979,-0.09485,5.05021E-131,FALSE
SREBF1,0.19202,0.23531,-0.07739,9.36630E-115,FALSE
SREBF2,0.17073,0.21721,-0.107,3.27643E-129,FALSE
KLF5,0.35817,0.37682,0.07739,1.38596E-145,FALSE
Atf1,0.38944,0.42254,0.05502,6.22686E-63,FALSE
Creb3l2,0.31833,0.34926,0.05152,2.08171E-72,FALSE
FOXG1,0.12649,0.16458,-0.07472,2.34999E-115,FALSE
Foxj2,0.12757,0.1654,-0.07508,1.63326E-119,FALSE
BHLHE41,0.31746,0.34464,0.01616,2.53317E-30,FALSE
ELF4,0.31938,0.35774,-0.04651,1.19070E-84,FALSE
FOXI1,0.12522,0.16574,-0.09918,6.42824E-126,FALSE
FOXL1,0.14576,0.18463,-0.05465,5.61926E-90,FALSE
HNF1B,0.10356,0.17967,-0.43692,6.10639E-187,TRUE
HSF1,0.12433,0.1632,-0.16493,5.41763E-142,FALSE
IRF9,0.13794,0.1721,-0.0501,8.97684E-91,FALSE
JDP2,0.22236,0.3167,-0.32536,5.38655E-190,TRUE
MEF2B,0.09692,0.1299,-0.09893,1.44413E-131,FALSE
MLX,0.29322,0.32546,0.01688,5.62857E-26,FALSE
MSC,0.15393,0.19574,-0.08941,1.41224E-116,FALSE
MYF6,0.13814,0.18121,-0.12167,4.70572E-123,FALSE
NEUROG2,0.11595,0.1623,-0.18368,1.00150E-140,FALSE
Nr2e1,0.11584,0.15965,-0.15542,1.49838E-152,FALSE
OLIG2,0.09497,0.13414,-0.17941,6.17082E-127,FALSE
PAX4,0.10631,0.15229,-0.18398,8.27917E-127,FALSE
Rxra,0.15175,0.19822,-0.12657,1.65425E-133,FALSE
SRF,0.13855,0.18468,-0.16482,1.18386E-116,FALSE
TBXT,0.13548,0.18043,-0.13023,1.32188E-117,FALSE
TBX20,0.13168,0.17364,-0.13226,5.04380E-129,FALSE
TFAP4,0.17199,0.22008,-0.09549,1.32510E-120,FALSE
ZIC1,0.29838,0.31904,0.05725,3.54099E-105,FALSE
PHOX2A,0.08365,0.127,-0.23467,5.11424E-151,FALSE
PROP1,0.0784,0.11974,-0.23729,2.16340E-158,FALSE
VENTX,0.12003,0.16769,-0.16919,9.29463E-127,FALSE
Nr2F6,0.12293,0.16559,-0.13172,8.38183E-144,FALSE
RARA,0.11864,0.163,-0.14808,3.13405E-139,FALSE
RARA,0.16827,0.21196,-0.09326,2.11230E-119,FALSE
BCL6B,0.13849,0.18079,-0.11731,9.96872E-128,FALSE
EGR2,0.4087,0.40018,0.29135,9.13669E-162,TRUE
GLIS2,0.27227,0.28222,0.14075,7.71587E-131,FALSE
GLIS3,0.20007,0.22981,0.00096,5.06454E-02,FALSE
KLF16,0.38937,0.40101,0.12688,7.05437E-161,FALSE
ZNF143,0.1885,0.23286,-0.11532,1.68599E-130,FALSE
E2F7,0.16923,0.20261,-0.06428,2.01404E-88,FALSE
HSF2,0.12175,0.16124,-0.16484,3.96534E-141,FALSE
HSF4,0.13257,0.17013,-0.14955,3.18091E-133,FALSE
MEF2D,0.09206,0.1259,-0.1239,5.61479E-136,FALSE
MEIS2,0.17399,0.21446,-0.05549,1.58174E-98,FALSE
MYBL1,0.17658,0.21784,-0.10981,4.00564E-87,FALSE
MYBL2,0.17653,0.21517,-0.0667,1.44561E-68,FALSE
NFKB1,0.18955,0.20597,0.10348,4.36299E-117,FALSE
PAX3,0.08402,0.13197,-0.25643,4.99470E-146,FALSE
PKNOX2,0.13691,0.18157,-0.11986,7.41190E-138,FALSE
POU3F2,0.10571,0.15063,-0.22994,1.91905E-164,FALSE
POU3F3,0.09298,0.13676,-0.24721,1.05445E-169,FALSE
POU3F4,0.11961,0.16394,-0.19411,1.32697E-148,FALSE
POU5F1B,0.11941,0.16386,-0.20033,7.27274E-150,FALSE
PROX1,0.17575,0.20616,-0.01035,2.38613E-15,FALSE
SMAD3,0.1528,0.18642,-0.04286,6.57125E-61,FALSE
TGIF1,0.13308,0.17807,-0.12504,1.56139E-133,FALSE
TGIF2,0.13587,0.18011,-0.1143,1.68444E-123,FALSE
RUNX2,0.1722,0.23504,-0.19593,9.05322E-148,FALSE
MGA,0.15033,0.19585,-0.13821,2.16405E-137,FALSE
TBX15,0.15248,0.19336,-0.12345,5.93406E-133,FALSE
TBX1,0.15293,0.19887,-0.13872,2.93777E-133,FALSE
TBX4,0.14441,0.18942,-0.14606,4.71432E-135,FALSE
TBX5,0.14861,0.19091,-0.13829,2.43513E-141,FALSE
TEAD3,0.16416,0.21558,-0.10419,1.61163E-131,FALSE
TFAP2B,0.29632,0.3022,0.16472,2.77533E-150,FALSE
TFAP2C,0.30765,0.30829,0.20227,1.38626E-151,TRUE
Ascl2,0.1961,0.23318,-0.04938,2.06480E-93,FALSE
HES7,0.24167,0.26185,0.04962,9.56032E-76,FALSE
HEY1,0.30252,0.32376,0.09782,3.77576E-99,FALSE
OLIG1,0.09385,0.13585,-0.209,5.76409E-126,FALSE
OLIG3,0.09929,0.13949,-0.17944,7.41977E-134,FALSE
CEBPG,0.14793,0.21104,-0.38427,7.73571E-158,TRUE
FOXB1,0.09762,0.13729,-0.14783,2.59565E-146,FALSE
FOXC1,0.09925,0.13847,-0.13845,1.02070E-146,FALSE
FOXO4,0.14576,0.18463,-0.05465,5.61926E-90,FALSE
FOXO6,0.14576,0.18463,-0.05465,5.61926E-90,FALSE
FOXP3,0.14576,0.18463,-0.05465,5.61926E-90,FALSE
RXRB,0.15156,0.19802,-0.12421,1.94497E-138,FALSE
RXRG,0.14794,0.19485,-0.13538,1.19686E-133,FALSE
Rarb,0.11814,0.16209,-0.13764,5.90511E-140,FALSE
Rarb,0.1521,0.19922,-0.11856,2.77205E-124,FALSE
Rarg,0.14788,0.1936,-0.13421,7.28189E-139,FALSE
TP63,0.14471,0.18544,-0.11159,2.62913E-110,FALSE
TP53,0.15709,0.1985,-0.08336,1.25421E-97,FALSE
GMEB2,0.28385,0.3172,-0.0215,1.10944E-16,FALSE
MTF1,0.22447,0.25025,0.05235,1.65783E-84,FALSE
E2F1,0.35224,0.36435,0.10142,1.56252E-85,FALSE
SOX21,0.11002,0.15294,-0.14473,6.58353E-135,FALSE
Sox1,0.11262,0.15574,-0.1398,1.37626E-129,FALSE
TFAP2A,0.30592,0.30766,0.19588,2.27416E-151,TRUE
ZNF24,0.12619,0.17011,-0.12855,3.53619E-144,FALSE
ZSCAN4,0.14976,0.18541,-0.03745,1.17009E-83,FALSE
FOSB::JUN,0.23711,0.29107,-0.19005,1.03571E-136,FALSE
FOSL1::JUN,0.24642,0.29942,-0.2173,1.07565E-135,FALSE
FOSB::JUNB,0.24887,0.30188,-0.19754,9.32844E-129,FALSE
IRF5,0.16904,0.19905,-0.0178,2.83552E-36,FALSE
TCF7L1,0.11965,0.15988,-0.10612,6.49906E-129,FALSE
ATOH7,0.11735,0.16363,-0.18195,4.83720E-132,FALSE
FERD3L,0.23942,0.26326,0.03591,2.86538E-75,FALSE
FOXN3,0.10736,0.14901,-0.14626,4.76718E-146,FALSE
HES6,0.21582,0.24331,0.02294,7.87505E-50,FALSE
IRF6,0.21067,0.22994,0.07415,3.69583E-81,FALSE
NR2F1,0.17859,0.21719,-0.0635,8.94005E-92,FALSE
NR2F6,0.17269,0.21191,-0.06632,1.64781E-96,FALSE
RXRB,0.20032,0.2363,-0.05102,2.46573E-79,FALSE
RXRG,0.21041,0.24471,-0.04012,2.63436E-81,FALSE
SMAD5,0.18306,0.21128,0.00615,3.61509E-06,FALSE
TFAP4,0.11686,0.16731,-0.20739,1.26048E-134,FALSE
TGIF2LX,0.15654,0.2003,-0.07348,3.82572E-101,FALSE
TGIF2LY,0.16077,0.20539,-0.07771,6.15871E-97,FALSE
ZBTB32,0.11248,0.15831,-0.18087,2.24030E-146,FALSE
ZNF135,0.15603,0.18262,-0.06455,1.33900E-131,FALSE
ZNF136,0.121,0.16517,-0.14514,9.12464E-133,FALSE
ZNF382,0.1423,0.18521,-0.13364,1.32707E-127,FALSE
ZNF460,0.27132,0.27614,0.11044,2.22908E-162,FALSE
ZNF528,0.18486,0.22269,-0.03035,3.50781E-80,FALSE
HOXA5,0.12896,0.18272,-0.19083,3.04598E-132,FALSE
HOXD3,0.10975,0.15859,-0.2067,2.12186E-137,FALSE
NEUROG1,0.10502,0.14779,-0.17348,2.50481E-121,FALSE
ZNF707,0.21671,0.24466,0.00482,2.79615E-17,FALSE
ZNF8,0.09311,0.13556,-0.20446,9.95344E-141,FALSE
Foxn1,0.41252,0.37145,0.49306,5.46421E-194,TRUE
ELK1::HOXA1,0.29804,0.34017,-0.06333,2.80287E-85,FALSE
HOXB2::ELK1,0.25357,0.30299,-0.11096,2.87022E-109,FALSE
POU2F1::SOX2,0.0923,0.13652,-0.21884,4.23240E-160,FALSE
ZFP14,0.24032,0.26094,0.0665,5.53964E-126,FALSE
ZNF418,0.13901,0.17851,-0.08994,3.03613E-131,FALSE
ZNF669,0.31912,0.32288,0.17232,5.92560E-134,FALSE
SP1,0.40795,0.40225,0.25143,1.23941E-194,TRUE
RFX1,0.20517,0.25902,-0.24378,2.30053E-145,FALSE
SP2,0.45536,0.4492,0.24292,4.28050E-190,TRUE
BHLHA15,0.11667,0.16321,-0.20669,4.99260E-126,FALSE
SP4,0.38257,0.3932,0.13022,3.34802E-165,FALSE
KLF14,0.41233,0.41823,0.17047,6.36942E-174,FALSE
KLF12,0.47124,0.45967,0.28294,2.69813E-187,TRUE
RFX3,0.21777,0.26984,-0.21733,3.69963E-145,FALSE
BHLHE22,0.10097,0.14247,-0.19001,1.17879E-121,FALSE
HES5,0.30415,0.32059,0.13216,4.65127E-105,FALSE
TFE3,0.27275,0.31331,-0.07438,6.75715E-91,FALSE
CDX1,0.10757,0.1479,-0.14429,6.02611E-136,FALSE
DUXA,0.09879,0.14747,-0.22462,4.25431E-142,FALSE
KLF10,0.40212,0.40731,0.17279,2.96697E-175,TRUE
NR1D2,0.15458,0.1989,-0.11451,1.54231E-131,FALSE
PITX2,0.12356,0.16506,-0.13481,1.08221E-128,FALSE
SOX18,0.11708,0.15411,-0.06981,2.95307E-100,FALSE
Thap11,0.22399,0.26227,-0.08351,9.25841E-118,FALSE
ZNF75D,0.17481,0.21183,-0.03906,1.73190E-86,FALSE
BACH1,0.23669,0.33359,-0.31292,3.28811E-194,TRUE
mix-a,0.08684,0.13777,-0.28014,8.50654E-153,TRUE
ARNT::HIF1A,0.25744,0.28245,0.09627,4.24443E-138,FALSE
Pgr,0.11845,0.15836,-0.09885,7.65787E-121,FALSE
Ddit3::Cebpa,0.13271,0.17895,-0.17257,1.71370E-135,FALSE
Foxq1,0.10652,0.1461,-0.12307,4.49757E-133,FALSE
HOXB1,0.09782,0.14489,-0.21604,4.27594E-129,FALSE
PAX8,0.27907,0.29733,0.12013,1.19809E-114,FALSE
ZNF524,0.22688,0.2301,0.17058,2.78601E-137,FALSE
ZNF75A,0.16001,0.19461,-0.03544,9.68622E-89,FALSE
ZNF766,0.1351,0.17621,-0.10794,1.44526E-129,FALSE
ZNF770,0.2148,0.23738,0.00076,1.54394E-01,FALSE
ZSCAN16,0.1688,0.21104,-0.06057,1.34152E-100,FALSE
ZNF677,0.12887,0.16588,-0.06811,5.37990E-115,FALSE
ZBTB17,0.1064,0.14116,-0.07884,3.25840E-63,FALSE
FOXP4,0.14576,0.18463,-0.05465,5.61926E-90,FALSE
FOXS1,0.1285,0.16711,-0.07879,1.09002E-111,FALSE
HOXA3,0.09782,0.14489,-0.21604,4.27594E-129,FALSE
ZNF184,0.15451,0.18749,-0.04168,1.21357E-87,FALSE
ZNF213,0.25906,0.27052,0.07865,1.42936E-139,FALSE
BCL11A,0.1544,0.20364,-0.14498,3.34984E-145,FALSE
EPAS1,0.34339,0.34287,0.29915,6.57549E-132,TRUE
IKZF2,0.17731,0.21826,-0.05981,4.62206E-134,FALSE
PGR,0.13342,0.1805,-0.11711,2.61495E-113,FALSE
ZBED4,0.53553,0.48186,0.55874,3.48376E-220,TRUE
ZBTB11,0.35758,0.3903,0.00503,1.77428E-10,FALSE
ZBTB24,0.24667,0.26526,0.06931,1.21057E-120,FALSE
ZNF157,0.12667,0.16923,-0.13619,1.52337E-126,FALSE
ZNF175,0.18105,0.23646,-0.14513,3.69136E-151,FALSE
ZNF35,0.08359,0.12607,-0.22196,1.78815E-156,FALSE
ZNF547,0.14064,0.17939,-0.05015,2.08159E-90,FALSE
ZNF558,0.08435,0.12708,-0.23073,2.97250E-172,FALSE
ZSCAN21,0.13987,0.17967,-0.06984,8.51991E-102,FALSE
FEZF2,0.1993,0.22994,-0.04946,3.16862E-126,FALSE
ALX3,0.08883,0.1375,-0.254,4.00062E-161,FALSE
TBX21,0.13558,0.17855,-0.13828,1.49001E-135,FALSE
ARGFX,0.0885,0.13857,-0.26871,1.09698E-150,TRUE
ARNT2,0.30529,0.33835,0.03711,1.07413E-62,FALSE
ASCL1,0.2195,0.2475,0.0082,1.40991E-28,FALSE
ASCL1,0.19993,0.23118,-0.0449,1.26079E-101,FALSE
ATF2,0.17005,0.22421,-0.20315,1.77414E-151,FALSE
ATF3,0.2626,0.31651,-0.18773,3.45357E-128,FALSE
ATF4,0.12213,0.17178,-0.226,4.08262E-157,FALSE
ATF6,0.2688,0.30613,-0.0059,9.57848E-09,FALSE
ATF7,0.25471,0.30766,-0.19186,2.17652E-125,FALSE
MAFK,0.23039,0.30714,-0.19198,7.62335E-177,FALSE
BACH2,0.24928,0.34703,-0.29709,6.37945E-192,TRUE
BACH2,0.16447,0.2143,-0.1549,2.88452E-119,FALSE
BARHL1,0.18502,0.2088,0.10041,1.42569E-102,FALSE
BARHL2,0.18502,0.2088,0.10041,1.42569E-102,FALSE
BARX1,0.10913,0.15257,-0.174,2.60239E-150,FALSE
BARX2,0.09065,0.14394,-0.28648,5.91075E-164,TRUE
BATF,0.24962,0.34915,-0.29672,2.72975E-193,TRUE
BATF::JUN,0.24962,0.34915,-0.29672,2.72975E-193,TRUE
JUN,0.17216,0.22592,-0.20151,3.49529E-154,FALSE
BATF3,0.24962,0.34915,-0.29672,2.72975E-193,TRUE
BCL6,0.15375,0.19297,-0.07807,8.22524E-106,FALSE
BHLHE22,0.20116,0.24039,-0.03774,2.42491E-101,FALSE
BHLHE23,0.09309,0.13268,-0.18095,3.63940E-119,FALSE
BHLHE40,0.27822,0.30431,0.07071,4.03786E-86,FALSE
BNC2,0.24962,0.34915,-0.29672,2.72975E-193,TRUE
BSX,0.10913,0.15257,-0.174,2.60239E-150,FALSE
CDX2,0.10588,0.14242,-0.11718,8.44626E-125,FALSE
CDX4,0.10143,0.14143,-0.14995,8.66053E-138,FALSE
CEBPA,0.10594,0.16032,-0.29547,3.57552E-162,TRUE
CEBPB,0.14659,0.21305,-0.42137,1.52246E-150,TRUE
CEBPD,0.11942,0.17235,-0.24055,1.26148E-154,FALSE
CEBPE,0.13787,0.20542,-0.43298,1.38585E-154,TRUE
CEBPG,0.11516,0.16658,-0.25336,7.78068E-167,FALSE
CLOCK,0.22919,0.26882,0.00047,5.52802E-01,FALSE
CREB1,0.16001,0.21128,-0.19493,1.71812E-155,FALSE
CREB3,0.32022,0.3537,0.03154,1.20328E-49,FALSE
CREB3L1,0.2572,0.29606,-0.01548,1.05858E-29,FALSE
CREB3L4,0.31045,0.33907,0.05536,3.05256E-82,FALSE
CREB3L4,0.32713,0.36516,-0.08292,2.32967E-93,FALSE
CREM,0.29818,0.34572,-0.10987,1.96062E-107,FALSE
CTCF,0.28949,0.34386,-0.23446,2.15477E-178,FALSE
CTCF,0.27644,0.32159,-0.14897,1.15367E-157,FALSE
CTCF,0.28169,0.32698,-0.14284,1.55933E-152,FALSE
CTCFL,0.3307,0.34209,0.09648,2.67566E-129,FALSE
CUX1,0.09729,0.12926,-0.08362,2.90890E-82,FALSE
HOXB13,0.09639,0.13452,-0.16408,1.36553E-153,FALSE
CUX2,0.0969,0.12889,-0.07913,6.13167E-83,FALSE
DBP,0.12637,0.17323,-0.23389,2.06167E-139,FALSE
DLX1,0.10913,0.15257,-0.174,2.60239E-150,FALSE
DLX6,0.10913,0.15257,-0.174,2.60239E-150,FALSE
DMRT3,0.11854,0.16251,-0.15086,3.32879E-134,FALSE
DMRTA1,0.09901,0.14217,-0.1822,2.67252E-146,FALSE
DMRTA2,0.12756,0.171,-0.13409,1.22157E-139,FALSE
DMRTC2,0.09532,0.13983,-0.20472,1.03589E-149,FALSE
DPRX,0.13407,0.17176,-0.06566,2.87822E-88,FALSE
DRGX,0.08883,0.1375,-0.254,4.00062E-161,FALSE
E2F2,0.29128,0.30806,0.06958,1.49544E-74,FALSE
E2F3,0.20253,0.23466,-0.03686,1.62211E-42,FALSE
ONECUT2,0.11016,0.13383,-0.003,3.51424E-03,FALSE
E2F4,0.32126,0.33452,0.09457,3.62004E-84,FALSE
E2F6,0.35392,0.35021,0.23172,1.27534E-173,TRUE
E2F8,0.40459,0.38671,0.32998,2.62219E-163,TRUE
EBF1,0.2071,0.23882,0.03557,1.97441E-94,FALSE
EBF3,0.21251,0.24175,0.04084,2.46523E-102,FALSE
EGR1,0.41109,0.3972,0.31959,6.93214E-182,TRUE
EGR3,0.42408,0.40476,0.347,3.30809E-182,TRUE
EGR4,0.37595,0.36785,0.26597,2.48216E-174,TRUE
EHF,0.20172,0.25479,-0.14051,2.77465E-154,FALSE
ELF1,0.19811,0.25052,-0.12393,9.83808E-152,FALSE
ELF2,0.30198,0.34784,-0.09564,2.35949E-116,FALSE
ELF3,0.1862,0.239,-0.14121,3.82846E-156,FALSE
ELK1,0.45268,0.48964,-0.03115,4.85276E-59,FALSE
EOMES,0.14053,0.18555,-0.15015,7.54780E-136,FALSE
ETV7,0.28448,0.33237,-0.08803,9.16604E-115,FALSE
HOXA1,0.08883,0.1375,-0.254,4.00062E-161,FALSE
ELK1::HOXB13,0.23742,0.28497,-0.10933,4.97013E-110,FALSE
PAX1,0.23549,0.26751,0.0626,2.08475E-81,FALSE
PAX5,0.3079,0.32267,0.12302,1.55836E-106,FALSE
PAX9,0.22881,0.26337,0.03403,1.30601E-57,FALSE
SPDEF,0.30227,0.33601,0.00815,1.31091E-15,FALSE
ELK1::SREBF2,0.35014,0.37355,0.04536,5.68712E-78,FALSE
SREBF2,0.20709,0.2452,-0.12247,2.77898E-113,FALSE
TEF,0.11425,0.16232,-0.24201,5.12989E-138,FALSE
ELK3,0.5271,0.54921,0.09047,3.66923E-99,FALSE
ELK4,0.35847,0.39932,-0.0566,1.43948E-94,FALSE
EMX1,0.08883,0.1375,-0.254,4.00062E-161,FALSE
EMX2,0.08883,0.1375,-0.254,4.00062E-161,FALSE
