"","XP142M_TGc0","XP142T_TGc1","XP158T_TGc1","XP165T_TGc1","XP166T_TGc10","XP183M_TGc1","XP206M_TGc0","XP213T_TGc1","XP213T_TGc2","XP243T_TGc0","XP245T_TGc0","XP250T_TGc1","XP264T_TGc0","XP276T_TGc0","XP289T_TGc0","XP315Th_TGc0","XP315Th_TGc2","XP331Th_TGc0a","XP331Th_TGc0b","XP331Th_TGc1","XP369T_TGc0","XP389Th_TGc0","XP389Th_TGc2","XP394T_TGc0","XP434M_TGc0","XP469T_TGc1","XP469Th_TGc0","XP473Th_TGc0","XP473Th_TGc1","XP519T_TGc0a","XP519T_TGc0b","XP536T_TGc2","XP579T_TGc1","XP607Th_TGc1","XP685T_TGc0a","XP685T_TGc0b","XP700T_TGc1","XP700Th_TGc1","XP740T_TGc2","XP785T_TGc1","XP966T_TGc0","XP976Th_TGc1"
"HIF_meta_gene",0.600745200934043,-0.066077230529775,0.379619239430776,0.533501443319958,0.844641180365908,-0.698526909728865,1.03644299872961,-1.63169862638005,-1.62715776005297,0.893570152853311,-2.10426448676504,-1.65184516144408,-0.210447495896019,1.10815279500884,-0.189525520659626,-0.251100884972021,-0.46955372414223,0.186678135792094,0.152676359547993,0.234175815706959,0.968680511283723,0.745952260288804,1.01219060933172,0.701710642864147,-0.553106302193576,0.290785602588931,1.04925213624223,-0.813345625641361,-1.03914233983231,0.776877744250279,0.793158131218827,-0.81621718725258,0.872914227580308,-1.77961727263341,1.73063241853775,1.80074310320236,-0.319907584849183,1.02473179832105,-1.38130927159486,-0.501440618176353,-0.76987223184118,-0.863676272814165
"HALLMARK_ANGIOGENESIS",-1.75842129944585,-0.788762311390668,-1.0680204608622,-0.634632701730544,-0.290988315691429,-0.86734273725295,0.841448536021916,-1.04041845731735,-1.562371975972,-0.400994865266258,0.698768933996407,-0.345435027373408,-1.84662990676417,1.31994855813469,0.337902840013778,-0.178233070880855,-0.409589354285353,1.1927427247321,-0.168849023574168,-0.92619234481673,1.2285991124667,0.867525549156375,1.55542124461295,0.338435704452529,0.293974086091905,-0.348564539966938,-0.86721300759287,0.0755133105734511,-0.600873239611685,0.542787600711681,0.398842270904814,0.279503856009723,1.75590233385004,-2.25779862971483,0.829652721128801,0.604707620143991,-0.835037794042836,-0.220468303331766,0.614765905117336,1.43880781614264,1.65923397622747,0.542352666395552
"MP6_Hypoxia",0.216866220216128,-0.490175587534966,0.176843893245144,0.497690066618124,0.307654242572273,-1.61155035353151,0.29822084633895,-1.92638555310907,-2.30018273819604,0.939776604338394,-1.50901370454343,-0.780328253336418,0.0626077646490057,0.94263239129988,-0.401162554503809,0.886863151741292,0.640648169109142,0.780207330734564,0.65232085925446,0.864793910866316,1.40896778966234,0.271340472278046,0.609926729463509,0.906036474323747,0.319118485569889,0.359112758505532,0.662784888182309,-0.990384473287527,-1.48376355379511,0.503226521888854,0.497309100941396,-1.31807557923955,1.22966472135136,-1.0863556961929,1.48022671933192,1.53143002093317,-0.503147508539201,0.668678806610478,-1.22559843338221,-0.460183794006269,-0.295441763766089,-1.33319939306211
"HALLMARK_HYPOXIA",-0.0330914397761798,-0.926214001788878,-0.398771873623527,0.272255339221349,0.698248933648795,-1.22204086974281,1.4974551287652,-0.998305746682075,-1.78313032631755,1.29952252157545,-0.675819168022589,-0.24070075147145,-0.367748917342245,-0.151246522313548,-0.545791700057579,-0.15181521464495,0.0250525869128116,1.0698621350397,0.586324112632749,0.994202997656624,0.802414903873876,1.14142715656232,1.10756725255612,0.595117725221877,0.059285883480752,0.0816803289083596,0.997759450167314,-1.75047928784876,-2.1719654570579,0.543083830717057,0.532932713119953,-1.2602471409803,1.56768528862349,-0.865100577773915,1.04741646597092,0.925410516682653,-0.673150054574276,1.43434283167584,-0.777844188924703,-0.20589861523167,-0.207246385201703,-1.87243986363652
"MP1_G2_M",-1.06244225198194,-0.529532526543627,-0.497651243212042,0.00384665671178224,1.86730245461263,-0.398328414166666,1.10405884134536,-0.563243534001405,-0.529919145630992,-1.21657280829613,1.22847453521487,-0.193543031201027,0.739329956283278,1.17369289954671,-1.31766929883452,-0.21210985109947,-0.124976011040593,-1.48806509513933,-0.777775576806315,-1.2376113965372,-0.120610012034028,-0.278643544440394,0.114183013992983,-0.92673947493569,-0.667858949621611,0.359018447283769,-1.23379867298516,-1.07718592698269,-2.03712093442106,1.4800815036977,1.48812189454745,-0.403276713417932,1.56305193476654,0.166391555112778,0.601431898866595,0.707990571224009,0.626653905776686,-0.52535816913881,0.417138249181218,1.46749177615217,0.507575364046862,1.80419712410528
"MP2_G1_S",-0.453023217171891,-1.05409750326716,0.000495685989034476,0.615491021067774,1.28077998763728,-0.413029381297282,0.88648230438395,-0.0826458182162479,0.0533924082343848,-1.57388541857025,0.581939135443399,-0.420257093319137,1.23887229166895,1.1568678663786,-1.82260837679517,0.176918467550333,0.32845678005305,-1.71710719614538,-0.982002091100398,-1.35072509481337,0.139371699689148,-0.469045753462129,0.276472358954479,-1.27694985153,-1.51637996721286,0.774731973203182,-1.25412408391574,-0.943211673181361,-1.98970979945668,1.29633074402356,1.29404855293366,-0.268074624516949,1.01026899816026,0.117388760006581,0.474946693959267,0.467439475526246,0.890357922793665,0.425854200025998,0.965988652199223,0.895263758697578,0.768013859004339,1.4707033463881
"HALLMARK_E2F_TARGETS",-0.765581708282244,-0.916256782066325,-0.472255192130284,0.505409014541279,1.72743418603376,-0.379406883263481,0.922903846181781,-0.500926273433256,-0.60425861235836,-1.12300567471812,0.834753797612345,-0.00701478510721983,1.07001530755855,1.27148360606612,-1.73727723592364,0.116484749983913,0.178560308459729,-1.67680215940035,-1.05360824349327,-1.43930139726203,-0.185915914492034,-0.184497283961028,0.220657683230973,-1.0093191705023,-0.963436871972451,0.653778217016432,-1.0614917906649,-0.921959353891197,-1.65847541604297,1.54729971972772,1.56147671954703,-0.742528759110828,1.27806957345848,-0.166639151386244,0.414618628820622,0.538472986762354,0.684643248665384,-0.165371309403386,0.601784170399822,1.2381076627253,0.552349946101696,1.81702659597265
"HALLMARK_MYC_TARGETS_V1",-0.212410486235368,-0.647078409380995,-0.704632054633148,0.411553302799136,1.67607225505613,-0.589794346015189,0.570433888497373,-1.05891566633979,-1.15741658285753,-0.558208971107489,0.865709311132939,-0.0727248469485542,0.863598276552613,1.18723420895872,-1.53468835260379,0.720746924551827,0.715377633831818,-1.58253417208224,-1.12834771304302,-1.44365102278237,0.327485990298909,-0.0155721214932281,0.449236577409556,-0.435039921141604,-0.879508793045184,0.409972523065903,-0.473613626818184,-0.330292496486237,-0.440053914567995,1.33367868288041,1.30316849464497,-1.69347609508621,1.64674377298267,-1.75055155272519,0.253431336521471,0.364577599781849,-0.17527533709068,-0.59505605127403,0.0444741796344442,1.25524108233074,1.0575119386417,2.02259455418492
"HALLMARK_MYC_TARGETS_V2",-0.265817457593131,-1.14993761493955,-0.70011566631006,0.248461533002029,1.1071825209428,-1.48189255919367,-0.524991795273991,-0.470128311288733,-0.938532535251071,-0.637938574684942,0.882641327776122,-0.376039645552259,0.524075540205231,0.459102802942412,-2.1981907282371,0.745909053518742,0.92194199230463,-1.50818751511473,-0.886470440187444,-1.2589994484319,0.455147642116274,-0.309916465654063,0.566534415691769,-0.42006578386352,-1.42540070975777,0.629595741846569,-0.828318853985063,-0.355022962843027,-0.495871199579752,0.870809886440493,0.867543527479386,0.131714796279962,1.65445025395085,1.81077283640833,-0.101165028052465,-0.469960289534784,0.335012883296046,-0.165790436855786,-0.416119075637037,1.3822490516388,1.69025089106086,2.10147640092054
"HALLMARK_G2M_CHECKPOINT",-0.929899840507597,-0.879348192451753,-0.678332009433656,0.258010572475939,2.01191683873841,-0.47709981140039,1.08351828901296,-0.52896663504337,-0.683945884600747,-0.807862817179002,0.935155564024098,0.0146913832362587,0.809886525809485,1.33802966487805,-1.58972570359947,-0.0246040707982556,0.0213052659768197,-1.36322334575431,-0.859260097963993,-1.23890719784496,-0.0155451157177227,-0.246912801857144,0.158774775065632,-0.865279700481325,-0.799198585462113,0.573393819678826,-0.913691189455982,-0.796110362660202,-1.56415497455551,1.71629232864807,1.76021098387116,-1.16623884752539,1.45333959338107,-0.596374931694086,0.636353693083905,0.659936881102022,0.278616104904239,-0.555901821933285,0.342458976383841,1.33729362818562,0.431948183305267,1.75945086615859
"HALLMARK_MITOTIC_SPINDLE",-1.28288249979536,-0.833591722995366,-1.07714260304536,0.215462581957967,1.14346244681816,0.155912852610257,2.16294198580947,0.0428829188763326,-0.331717454223118,-0.281595256239592,0.888018598120172,0.977234106891534,0.344536710345238,0.576090612725791,-1.06446757260132,-0.417414136259339,-0.629839356181197,-1.00998872304527,-0.879346432803987,-0.948676324470652,0.142765096552622,0.148617748220548,0.118016048660765,-0.710124520446242,-0.245864697927868,0.115135484956778,-0.384749945669845,-0.117911771116526,-0.865070048240422,1.97788767846113,2.0630842702222,-1.29379156078471,0.778795197200366,-1.87564491825751,0.614899007196614,0.596277324970454,-0.420002728245734,-1.06600317398186,-0.201686492694293,0.518749149343235,-0.238508985884269,2.59525110497036
"PT_VCAM1_sig",0.546671754248104,-0.0490572026791114,-0.24351447458281,1.42253540321842,-1.87061700875181,0.637707010407275,0.100746447577059,0.63778080345335,0.0843259889752544,0.297759515048664,-0.700379406743902,0.426532080149513,-1.90032313986564,-0.997730510904913,0.639418741798537,-0.125506418822137,0.213100167733039,-0.487477441155279,-0.313968350560559,0.179860368147544,-2.50536202132251,0.569051632689562,0.233620714787267,1.06227064819276,1.67011965731596,0.484874805098569,0.63836592975675,1.48190236663799,1.42239445675488,0.12319020843962,0.07906270580977,-0.119168206516922,-2.07473752716511,-0.840643564150678,0.935214163833787,1.04912633956724,-0.678263839870043,0.40170765753041,0.209936223850574,0.283205880422371,-0.912869778351665,-2.01086278000121
"PT_enriched",1.17202935443558,1.77132602497411,1.33126837151525,0.670092577956241,-0.851080650504623,0.911813269307498,-1.43109199512489,0.552715068777868,0.80906160113829,0.0790481877918292,-0.791281486183033,-0.928438288082326,-0.233143810965575,-1.12006653543057,2.27696202575808,-0.84298603763696,-0.794615221824295,0.501671251014003,0.618694249133491,0.634129181832467,-1.6016477317312,-0.554538365635087,-0.878763964218429,0.895945711033028,0.432278709909648,0.468621267400551,0.300207048480218,0.858762161982307,0.933082430745156,-0.54784526138643,-0.59422299396355,-0.500007142780706,-0.686895064311673,1.05579529338832,-1.36660512027159,-1.37997154112936,0.765318846015228,0.996120886693683,0.363287015289778,-0.421588687439296,-0.933231578408387,-1.94020905754464
"PT_enriched_broad",1.18707312816032,1.58225927605323,1.1335452504914,0.700777635849511,-1.12873780373124,1.16093464365227,-1.2548175476164,0.659714421579045,0.953158621479689,-0.426137106191135,-0.660804874535821,-0.61289118075801,-0.228216715928294,-1.43842762671415,1.62123781840101,-0.61574159665073,-0.566433491137199,0.133327041839244,0.258524320560168,0.161100601740294,-1.23287849580504,-0.39544723033572,-0.835617364008526,1.16615551698645,1.02257280226761,0.686408858221501,0.957230128467711,1.12990179597928,1.1621951829637,-0.750891052142278,-0.849582448679079,-0.495025937357674,-0.94754197452385,0.416792054307592,-1.5440038566068,-1.61171951877421,0.903287102380884,0.953515175268469,0.580509283689026,-0.523940801416061,-0.312829963370613,-2.09853407405557
"Epithelial_Sig_kidney",1.16856156206334,1.51566589508256,1.1572611208904,0.921547381089671,-1.00617035599309,1.43722104909631,-1.43486650143264,1.0605807935082,1.23981261855079,-0.318433847930053,-0.66463976627621,-0.330333139810004,-0.248202100843048,-1.38650869937791,1.52282901529548,-0.409136419423127,-0.349789959654128,0.00808688700449336,0.12648456355919,0.0999555758619347,-1.02955388392041,-0.718470582007495,-1.06669161693306,1.12121633554448,0.850488787018276,0.429439747091249,0.898220973921348,1.05873897142482,1.13280159791854,-0.719911155466594,-0.789032186737929,-0.954549989298874,-0.902276093484398,0.083372746599422,-1.17966249836975,-1.14636561130749,0.702648304905743,0.835881039329981,0.698868511060257,-0.673075598586002,-0.249181241548852,-2.4928322284154
"MP5_Stress",0.634881409169635,-0.692790630233887,-0.264754477385293,0.767890846768424,0.727772779539466,-1.7394131934689,-1.06355424185923,1.20088245486537,-1.72781913598822,1.55754837328452,0.625703831979243,0.882911171273965,-0.872753133902764,-1.0886865381802,-1.5608913195315,-0.238359098093242,0.727059858859482,-0.153488639312616,-0.617036084374372,-0.096617774958543,0.0488158955969733,-0.0638891660289371,-0.126267780952099,-0.953728210075831,-0.327916546675231,0.957047352165031,0.928406281675662,-2.184320531846,-1.91041300737501,0.0834170697549081,0.0967144047693598,0.515737885030274,0.721006677328155,0.401202385519733,1.38229464782956,1.3255107899714,-0.553849281741955,1.98608040606046,0.851660326027353,-0.114076947864167,0.46535990097995,-0.537279008600844
"MP7_Stress_InVitro",0.484701276138942,-1.15582085304001,0.511765388058852,0.224384773068525,2.14656776665343,-2.07809367786664,-1.5031051224001,-1.28211794525605,-1.85117883864338,1.49357450810573,1.42585642419095,1.11024526037315,0.963362154412352,-0.217920878961613,-0.788814315734112,0.425854146176105,0.798283998529066,0.502166110848691,0.368636405772147,0.591534592632723,-1.19497576926167,-0.118802482182743,-0.262588136919545,-1.18696492240888,-0.308407018998458,0.353775675087327,1.5565766589533,-1.35809824531557,-1.05852425507535,0.389125419912856,0.139870173053902,-0.336818512573607,0.595839661510131,0.349095958520662,-0.641961852398875,-0.788559300648538,-0.452260044865467,0.638220963623412,0.0456654150553726,1.53725636247219,0.639802087719257,-0.707149008318458
"MP19_Epithelial_Senescence",-0.393529705723465,-1.31951337142447,-1.42587936238239,-0.361846012838778,-0.404165393857765,-0.703722116506654,0.67701477515662,-2.08383307042394,-2.19334514188661,1.13136333263773,2.57646014907123,1.15793292774395,-0.181630359180096,-0.998304406634333,-1.37071532959319,0.48107737160674,0.663525346876295,0.410880030096314,0.565952803681724,1.06560788190054,1.63117268023167,0.248783609346644,0.412143361012717,-0.0773743457402493,0.266669591086669,-0.0216405792545053,0.158968237065154,-1.11508032145857,-0.903375604648935,0.465887879988142,0.412697202680482,1.06683113882795,0.846408304914375,0.780505353224789,0.336990032413514,0.147528548094866,-0.0919537173105358,-0.449018013212828,-0.121433923215792,0.139689197186611,0.490583960006755,-1.91831293955838
"MP39_Metal_response",1.00430982728688,-2.1429149537178,-0.12598878493635,1.07737084643167,-0.384345899050397,-1.66998103885906,0.470649606501749,-0.145762427089121,-1.2209633816855,1.41061273353319,-0.535450367730685,1.28147948088398,-1.8233108427622,0.0725146909816205,-0.427984515059038,0.832939795732797,0.514720649429062,0.296637088414188,0.0442138030594454,0.468244427723333,0.550926385146721,1.04108738820831,1.1031077239444,0.9831207444848,0.951337509005397,0.911266664279388,-0.91890660853977,-1.49996443250714,-1.90423362493601,-0.0610875577639078,-0.0815386123529658,-0.637914236631969,1.66531741646678,-0.875989411922976,0.203785594200883,-0.0379184888912784,-0.240266778827576,1.58503565866371,0.200953226571273,-0.688717825842875,0.0710747705342017,-1.31746624237718
"HALLMARK_DNA_REPAIR",0.206133292307274,-0.835080600240522,-0.282837965544543,0.202748538556821,2.04468985601401,-0.628625963908814,-0.754424661619518,-0.843501130340265,-0.883755968917866,-0.896691528513451,0.562475271163964,-0.554851993947347,1.35727224901647,1.23165409174448,-2.33079386930966,0.547140707764638,0.608220156871024,-1.81784727762803,-1.19161255176936,-1.59982042839363,-0.576051862297053,-0.128558060347499,0.339705863677816,-0.929483705610742,-1.29926060268936,0.884857852613062,-0.996189617730105,-0.560009230301023,-0.696731360674029,1.05003413171443,1.05621975206678,0.576356309528221,0.603844587157911,0.0457876428253975,0.511585857261258,0.427348914307777,0.931612992274478,0.0847180604126814,0.78121740139285,1.44079728308936,0.88821434181407,1.42349322620814
